,entry_datetime,entry_price,exit_datetime,exit_price,pnl%,trade
31,2020-09-15 05:30:00,10785.31,2020-09-21 05:30:00,10417.22,-3.412882893491241,long
32,2020-09-28 05:30:00,10696.12,2020-10-12 05:30:00,11528.25,7.779736951343096,long
33,2020-10-13 05:30:00,11420.56,2020-10-21 05:30:00,12780.96,11.911850206995101,long
34,2020-10-22 05:30:00,12968.52,2020-11-03 05:30:00,14023.53,8.135161144062701,long
35,2020-11-04 05:30:00,14144.01,2020-11-05 05:30:00,15590.02,10.223479762811255,long
36,2020-11-06 05:30:00,15579.92,2020-11-07 05:30:00,14818.3,-4.888471827839943,long
37,2020-11-08 05:30:00,15475.1,2020-11-16 05:30:00,16713.57,8.002985441128,long
38,2020-11-17 05:30:00,17659.38,2020-11-24 05:30:00,19160.01,8.497636949881578,long
39,2020-11-25 05:30:00,18719.11,2020-11-26 05:30:00,17149.47,-8.385227716488656,long
40,2020-12-17 05:30:00,22797.16,2020-12-25 05:30:00,24712.47,8.40152896237953,long
41,2020-12-26 05:30:00,26493.39,2020-12-30 05:30:00,28875.54,8.991488065513705,long
42,2020-12-31 05:30:00,28923.63,2021-01-02 05:30:00,32178.33,11.25273694899292,long
43,2021-01-03 05:30:00,33000.05,2021-01-04 05:30:00,31988.71,-3.06466202323937,long
44,2021-01-05 05:30:00,33949.53,2021-01-06 05:30:00,36769.36,8.305947092640169,long
45,2021-01-07 05:30:00,39432.28,2021-01-11 05:30:00,35404.47,-10.214499389839995,long
46,2021-02-04 05:30:00,36936.66,2021-02-08 05:30:00,46374.87,25.552418653987658,long
47,2021-02-09 05:30:00,46420.42,2021-02-10 05:30:00,44807.58,-3.4744192318811344,long
48,2021-02-11 05:30:00,47969.51,2021-02-17 05:30:00,52119.71,8.651745660941703,long
49,2021-02-18 05:30:00,51552.6,2021-02-19 05:30:00,55906.0,8.444578934913082,long
50,2021-02-20 05:30:00,55841.19,2021-02-22 05:30:00,54087.67,-3.1401909593975414,long
51,2021-03-10 05:30:00,55851.59,2021-03-13 05:30:00,61188.39,9.555323313087422,long
52,2021-03-14 05:30:00,58968.31,2021-03-15 05:30:00,55605.2,-5.703249762457158,long
53,2021-04-02 05:30:00,58950.01,2021-04-03 05:30:00,57051.94,-3.219795891468041,long
54,2021-04-12 05:30:00,59860.0,2021-04-18 05:30:00,56150.01,-6.197778149014364,long
55,2021-05-01 05:30:00,57800.37,2021-05-04 05:30:00,53200.01,-7.959049397088636,long
56,2021-07-29 05:30:00,40016.48,2021-08-03 05:30:00,38207.05,-4.5217120546334915,long
57,2021-08-09 05:30:00,46253.4,2021-09-03 05:30:00,49999.14,8.098301962666524,long
58,2021-10-02 05:30:00,47634.9,2021-10-05 05:30:00,51471.99,8.055207421449392,long
59,2021-10-06 05:30:00,55315.0,2021-10-15 05:30:00,61672.42,11.493121214860343,long
60,2021-10-16 05:30:00,60875.57,2021-10-20 05:30:00,66001.41,8.420192205181824,long
61,2021-10-21 05:30:00,62193.15,2021-10-22 05:30:00,60688.22,-2.419768093431512,long
62,2021-10-23 05:30:00,61286.75,2021-10-27 05:30:00,58413.44,-4.6883053841164655,long
63,2021-11-09 05:30:00,66947.66,2021-11-10 05:30:00,64882.43,-3.084842696518449,long
64,2022-03-28 05:30:00,47122.21,2022-03-31 05:30:00,45510.34,-3.4206163081060983,long
